"","ensembl","beta","p.value","prod"
"3934","FBgn0031760",0.0036654976195156,0.4172131437711,0.00139157691373456
"5417","FBgn0034368",0.00390904146777498,0.417473094860258,0.00148297895848254
"8479","FBgn0039551",0.00367024632865461,0.417699733727551,0.00139152178383235
"1628","FBgn0020496",0.00321237968556949,0.418082240902579,0.00121665115621248
"3213","FBgn0030581",0.000397395984238712,0.418085518339296,0.000150507718533941
"7570","FBgn0038029",0.00271082351791847,0.418130453688448,0.00102655687942578
"53","FBgn0000163",0.00401681026503969,0.418189434268203,0.00152087259532933
"6274","FBgn0035909",0.00195326439616019,0.418766184100077,0.000738389405485958
"5475","FBgn0034461",0.00548556510460517,0.418823180001933,0.00207337514815607
"35","FBgn0000100",0.00299368565689424,0.419298843708454,0.00113004549062343
"4316","FBgn0032391",0.00107994267247857,0.419530310295903,0.000407393963216722
"5017","FBgn0033677",0.00737309023285919,0.419791734947775,0.00277940518990371
"7794","FBgn0038394",0.00327163466384305,0.419869860698027,0.00123303100843694
"593","FBgn0003651",0.00350893232655878,0.420026567963562,0.00132189634896857
"9560","FBgn0051390",0.00549496444681317,0.420244031024152,0.00206884557717938
"7883","FBgn0038539",0.00144311182315749,0.420549900572012,0.000542873363434157
"5078","FBgn0033777",0.00513980983425676,0.420566721224453,0.00193341705623785
"4992","FBgn0033636",0.00388500474923568,0.420773800427335,0.00146057262270758
"1141","FBgn0011708",0.00203697168002306,0.421147659818496,0.000765016507893803
"4532","FBgn0032780",0.00178239545178684,0.421243105289445,0.00066923101957916
"5175","FBgn0033950",0.00360079203850164,0.421366845366824,0.00135151998459761
"10059","FBgn0052984",0.006708561425037,0.421382908708197,0.0025178779589276
"8373","FBgn0039342",0.00588285628511835,0.421583474830282,0.00220675599420067
"4115","FBgn0032061",0.00167792375425107,0.421734783959921,0.000629155260139355
"49","FBgn0000150",0.00380427025741014,0.42213402233268,0.0014248880706588
"6072","FBgn0035568",0.00463597728340351,0.422143480725692,0.00173635852962182
"1023","FBgn0010611",0.00634654993851497,0.422202604656805,0.00237665025682237
"1276","FBgn0014135",0.00325184837186096,0.422211959153446,0.00121771793458569
"10480","FBgn0085443",0.00573645338043248,0.422542644770611,0.00214617616932324
"9388","FBgn0050416",0.0052431823005943,0.423114827226363,0.00195854752048124
"11014","FBgn0261597",0.00202780364202131,0.423602648999691,0.000756454573063362
"8198","FBgn0039068",0.00212335019639657,0.423660459883374,0.000791971544568626
"5120","FBgn0033864",0.00546087711355344,0.424366361817419,0.00203286091859295
"6652","FBgn0036534",0.00665160469613324,0.424506176348801,0.00247516844404397
"11329","FBgn0263400",0.00203678251944292,0.424543776615463,0.000757840990765646
"9331","FBgn0050277",9.08992430289379e-05,0.424649520838186,3.38117334015642e-05
"10805","FBgn0260429",0.00104061734936409,0.424692285417434,0.00038703226111291
"1464","FBgn0015926",0.00244065649161451,0.424806352741268,0.000907458042771805
"5354","FBgn0034255",0.00618336730805379,0.424939219996642,0.00229819181284512
"8530","FBgn0039632",0.00159789598428978,0.425227606049903,0.000593424291389274
"5488","FBgn0034480",0.00522575550988543,0.425473104751706,0.00193942360340356
"1640","FBgn0020620",0.00157000212417396,0.425708610343032,0.000582294266032016
"6469","FBgn0036248",0.00361676029809688,0.425896391001084,0.00134071872040162
"3786","FBgn0031520",0.00286344418136131,0.426383833515018,0.00106004494588106
"9294","FBgn0050103",6.80776321780809e-07,0.426776604842958,2.51750672516561e-07
"11000","FBgn0261563",0.00218786955082328,0.426789133085214,0.000809044945541315
"9682","FBgn0051752",0.00615217831935442,0.42690126961601,0.0022742914694599
"10099","FBgn0053137",0.00385325267816452,0.427084634363336,0.00142372312451677
"2181","FBgn0026760",0.00394668516816106,0.42727066755972,0.00145749867992812
"9536","FBgn0051294",0.00831930726496378,0.427463716708247,0.00307066248826151
"9030","FBgn0041188",0.00132145749688804,0.428095689393918,0.00048690309967789
"2","FBgn0000014",0.00208902248114091,0.428203592943263,0.000769490789548193
"7238","FBgn0037486",0.00396185321455625,0.428360115757583,0.00145871858893614
"10051","FBgn0052850",0.00338383959991383,0.428400516884611,0.00124576059555388
"4462","FBgn0032658",0.00453733488180866,0.428745853059818,0.00166883207596633
