"","ensembl","p.value"
"329","FBgn0014037",0.0142909857044974
"330","FBgn0040007",0.0143024298869044
"331","FBgn0000406",0.0143480446651099
"332","FBgn0031127",0.0148975338149133
"333","FBgn0030239",0.0149140409102054
"334","FBgn0032451",0.0149845111047372
"335","FBgn0040941",0.0149915552471906
"336","FBgn0035480",0.0150715211952929
"337","FBgn0261989",0.0152155883785028
"338","FBgn0039302",0.0152247720894383
"339","FBgn0010409",0.0152262977329049
"340","FBgn0031977",0.0154301497969111
"341","FBgn0040602",0.0154316070747469
"342","FBgn0030624",0.0156211866444543
"343","FBgn0051445",0.0157838975507787
"344","FBgn0003139",0.0158001594495898
"345","FBgn0033926",0.01584429461452
"346","FBgn0031011",0.0158637120055737
"347","FBgn0040837",0.0159913946226324
"348","FBgn0020385",0.0161689183713611
"349","FBgn0010438",0.0161932373893704
"350","FBgn0010278",0.0162504725277862
"351","FBgn0040071",0.0164586180503577
"352","FBgn0010173",0.0165881879262966
"353","FBgn0030027",0.0167066584564404
"354","FBgn0040319",0.0167283613327268
"355","FBgn0033127",0.0167435490471344
"356","FBgn0030425",0.0167876481180744
"357","FBgn0029940",0.0168001083840206
"358","FBgn0029713",0.0170227242962852
"359","FBgn0033820",0.0171222447323758
"360","FBgn0035760",0.0172617150230817
"361","FBgn0262538",0.0174615194254323
"362","FBgn0030991",0.0174661894325419
"363","FBgn0053120",0.0174853080826478
"364","FBgn0039525",0.0175513907244926
"365","FBgn0023541",0.0176998768227318
"366","FBgn0053169",0.0180782990983647
"367","FBgn0003345",0.01815231630623
"368","FBgn0035977",0.0184089987034186
"369","FBgn0041182",0.0184759950097573
"370","FBgn0032390",0.018565930668274
"371","FBgn0038243",0.0186383988822741
"372","FBgn0054003",0.0186836128771067
"373","FBgn0030798",0.0187522421163388
"374","FBgn0030538",0.0188224617530471
"375","FBgn0030823",0.0188434449659833
"376","FBgn0034761",0.018886415861204
"377","FBgn0038294",0.0190203200766935
"378","FBgn0037186",0.019170236964123
"379","FBgn0010504",0.0192475810316837
"380","FBgn0260441",0.0192641458842954
"381","FBgn0033951",0.0192971262180229
"382","FBgn0052532",0.0193158453477298
"383","FBgn0010385",0.0193588012571808
"384","FBgn0263594",0.0195969626931866
"385","FBgn0004657",0.0196025172084587
"386","FBgn0051184",0.019606517909071
"387","FBgn0038947",0.0196774312916703
"388","FBgn0039043",0.0197391294877784
"389","FBgn0263740",0.0197564642413519
"390","FBgn0037250",0.0198806162511058
"391","FBgn0023214",0.0199241984953071
"392","FBgn0260855",0.0202758945506878
"393","FBgn0030674",0.0202988391143861
"394","FBgn0036249",0.0204249978369132
"395","FBgn0035523",0.020441020469968
"396","FBgn0039274",0.0204709344039374
"397","FBgn0052280",0.020479245605673
"398","FBgn0053177",0.0205634103160266
"399","FBgn0026874",0.0205650413927554
"400","FBgn0001230",0.0207821805104737
"401","FBgn0029929",0.020785560035899
"402","FBgn0022959",0.0207900030867756
"403","FBgn0261811",0.0208014142416645
"404","FBgn0035753",0.021324965049092
"405","FBgn0031091",0.0213380035316831
"406","FBgn0036007",0.0213535870980159
"407","FBgn0030370",0.021357823983617
"408","FBgn0259098",0.0216436543632978
"409","FBgn0040813",0.021659879815501
"410","FBgn0001226",0.0217181464194438
"411","FBgn0011509",0.0218423302666201
"412","FBgn0036929",0.0220051424688283
"413","FBgn0250871",0.0220343090981496
"414","FBgn0026192",0.0221662486838742
"415","FBgn0039073",0.0223474329759874
"416","FBgn0261393",0.022469768521771
"417","FBgn0259711",0.0225024156797596
"418","FBgn0031010",0.0225127482158275
"419","FBgn0031643",0.0225701942131855
"420","FBgn0011674",0.022582764895248
"421","FBgn0020443",0.0226168976351638
"422","FBgn0037750",0.0226464125017233
"423","FBgn0031695",0.0228884761403604
"424","FBgn0030164",0.0229633344451362
"425","FBgn0023514",0.0230923412017529
"426","FBgn0030929",0.0231413684353963
"427","FBgn0031821",0.023209885604248
"428","FBgn0040918",0.0233170449498789
"429","FBgn0041627",0.0234163924522541
"430","FBgn0015019",0.0234193105835559
"431","FBgn0004647",0.023496415168562
"432","FBgn0023000",0.0235211831898689
"433","FBgn0051326",0.0235778038979591
"434","FBgn0039298",0.0237624772783038
"435","FBgn0024897",0.0240865097289917
"436","FBgn0030968",0.0241004730114763
"437","FBgn0052075",0.024103794316415
"438","FBgn0260936",0.0241057916342636
"439","FBgn0025454",0.0242443421193768
"440","FBgn0262816",0.0242457242915511
"441","FBgn0265597",0.024250656548203
"442","FBgn0037755",0.024332540186741
"443","FBgn0030614",0.0245786536607925
"444","FBgn0260748",0.0248064842782057
"445","FBgn0050147",0.0248258455697622
"446","FBgn0004197",0.0248509670795525
"447","FBgn0038893",0.0249636875654701
"448","FBgn0032218",0.0250968919995228
"449","FBgn0015571",0.0251541630374646
"450","FBgn0003390",0.0252037395047329
"451","FBgn0034365",0.0252110767387321
"452","FBgn0029552",0.0252206449436672
"453","FBgn0029809",0.0252686990263194
"454","FBgn0036030",0.0256039335942261
"455","FBgn0003676",0.0256108812203297
"456","FBgn0010379",0.0256203005615487
"457","FBgn0265935",0.0257189075998509
"458","FBgn0086347",0.0259409094950772
"459","FBgn0263216",0.0260585512940366
"460","FBgn0014000",0.0260666746211382
"461","FBgn0037228",0.0261026579000112
"462","FBgn0261277",0.026287505088358
"463","FBgn0029952",0.0263133220503066
"464","FBgn0033979",0.0265488550178082
"465","FBgn0037416",0.0265666930096422
"466","FBgn0037354",0.0266232595109738
"467","FBgn0020508",0.0266563233518984
"468","FBgn0039186",0.0267981679477826
"469","FBgn0010078",0.0268287558722283
"470","FBgn0266848",0.0268408403631375
"471","FBgn0264695",0.0268839182761377
"472","FBgn0053262",0.0268893418347322
"473","FBgn0010434",0.027053128246816
"474","FBgn0030222",0.0271734770983323
"475","FBgn0011695",0.0274025230415909
"476","FBgn0035165",0.0274146158865412
"477","FBgn0037921",0.0274540347201103
"478","FBgn0033781",0.0276344774536559
"479","FBgn0029944",0.0276877801653659
"480","FBgn0083970",0.0277420815628662
"481","FBgn0267698",0.0278603547760855
