"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","geneSymbol"
"FBgn0031589",2306.79597023766,0.0106615341642115,0.0457935394964373,0.232817429738992,0.815903177820531,1,"FBgn0031589","CG3714"
"FBgn0031590",2807.46450268716,-0.156371095570096,0.064946371491636,-2.40769564147604,0.0160535581914332,1,"FBgn0031590","CG3702"
"FBgn0031592",55.5463160250291,-0.106681965835212,0.169566983115277,-0.629143503500831,0.529255111876726,1,"FBgn0031592","Art2"
"FBgn0031596",0.0668613675618466,-0.0177637945476065,0.0612146699379257,-0.290188521242045,0.771672017301558,NA,"FBgn0031596","CG15429"
"FBgn0031597",333.353196302299,-0.0706916498412191,0.090109190812292,-0.784510982775087,0.432740340105222,1,"FBgn0031597","CG17612"
"FBgn0031598",1174.69119451165,-0.0304857953200269,0.0593762211646925,-0.51343441401345,0.607647477814822,1,"FBgn0031598","CG3338"
"FBgn0031600",771.947095614755,0.113881186083472,0.0732226296595631,1.55527309812478,0.119881041520648,1,"FBgn0031600","CG3652"
"FBgn0031601",363.419116329593,-0.196651222678955,0.104399265346745,-1.88364565618168,0.0596129217923147,1,"FBgn0031601","Dim1"
"FBgn0031602",5616.96201898816,0.00616345768512498,0.0728914835589174,0.0845566228617521,0.932613885448545,1,"FBgn0031602","CG15431"
"FBgn0031603",295.75938206385,-0.356448478547961,0.109168230362111,-3.26513013324133,0.00109413796271516,1,"FBgn0031603","CG15432"
"FBgn0031604",733.391637899628,0.273131622531665,0.0651038229695427,4.19532386998907,2.72481957157163e-05,0.280574671284731,"FBgn0031604","Elp3"
"FBgn0031606",451.390179260313,-0.0491780200319431,0.107709040229583,-0.456582102366892,0.647971445862078,1,"FBgn0031606","CG15439"
"FBgn0031607",468.548768246553,0.29616533848655,0.101157503615254,2.92776440601969,0.00341408634638938,1,"FBgn0031607","CG15440"
"FBgn0031608",271.452600760553,0.246778038756624,0.122482356748672,2.01480478746012,0.0439251072335218,1,"FBgn0031608","CG15435"
"FBgn0031609",812.691536316968,0.0564409724107606,0.0678681820596974,0.83162640721855,0.405619851749787,1,"FBgn0031609","CG15443"
"FBgn0031610",63.5391918378094,0.539359883436655,0.199111895328446,2.70882803132857,0.00675213275237332,1,"FBgn0031610","CG15436"
"FBgn0031611",1016.78117795685,-0.0483897001340424,0.0740654990914831,-0.653336583532275,0.513539312531436,1,"FBgn0031611","CG17840"
"FBgn0031613",0.515219096386076,0.0223637198096193,0.12316029998751,0.181582212871252,0.855910608848853,NA,"FBgn0031613","HP6"
"FBgn0031617",0.0530974903689294,-0.0177637945476065,0.0612146699379257,-0.290188521242045,0.771672017301558,NA,"FBgn0031617","CG15635"
"FBgn0031619",0,NA,NA,NA,NA,NA,"FBgn0031619","CG3355"
"FBgn0031620",8.66345792292558,1.05994376272312,0.246434118688901,4.30112424514235,1.6993374042026e-05,0.174980772510742,"FBgn0031620","CG11929"
"FBgn0031621",4.12713633702333,0.827268373358546,0.232309517980686,3.56106103852071,0.000369359199272083,NA,"FBgn0031621","Elba3"
"FBgn0031622",12.7836248532047,1.20484272269031,0.246542405449425,4.88695938734753,1.02405207745935e-06,0.010544664241599,"FBgn0031622","CG3251"
"FBgn0031623",4.7594060440045,-0.232206606766242,0.241954078692435,-0.959713545732026,0.337199403947541,NA,"FBgn0031623","Taf12L"
"FBgn0031626",3.69617111473121,0.118253663111594,0.231404740393809,0.511025240495709,0.609333382830643,NA,"FBgn0031626","CG15631"
