"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0037676",3557.48234213241,-0.747340456845826,0.140951161606424,-5.3021234328853,1.1446340274847e-07,1.23163944633686e-06,"FBgn0037676",41109,"CG8861","CG8861",0.001178629658101
"FBgn0037678",211.851429831472,0.553659162238393,0.194402279597271,2.84800756135868,0.00439938792910561,0.0134326855604649,"FBgn0037678",41111,"CG16749","CG16749",1
"FBgn0037698",10195.2131263081,-0.765860214008425,0.119039766800591,-6.43365015399733,1.24575409308221e-10,2.48461204743486e-09,"FBgn0037698",41134,"CG16779","CG16779",1.28275298964675e-06
"FBgn0037705",12669.9670572723,-0.642068422631526,0.115594840739899,-5.554473006942,2.78450536473465e-08,3.38412844599797e-07,"FBgn0037705",41145,"mura","CG9381",0.000286720517406727
"FBgn0037714",36.5928321506821,-0.823013897171792,0.193719239509038,-4.24848816905145,2.1521801048058e-05,0.000129895648350692,"FBgn0037714",41156,"CG9396","CG9396",0.221609985391853
"FBgn0037727",15.8123868704599,1.12492806688758,0.247238265393207,4.54997556748952,5.36521449256621e-06,3.82168881807857e-05,"FBgn0037727",41172,"CG8358","CG8358",0.0552456136299543
"FBgn0037730",25.0152904380746,0.660608449568123,0.220924036305584,2.99020631985179,0.0027878906957794,0.00906754548082705,"FBgn0037730",41175,"CG9444","CG9444",1
"FBgn0037746",95.6281781340697,1.14512372428307,0.169179083786736,6.76870744687678,1.29937981305161e-11,3.19664606431132e-10,"FBgn0037746",41194,"CG8478","CG8478",1.33797139349924e-07
"FBgn0037750",187.361733587013,1.0603005733772,0.136734232462938,7.75446319680473,8.87179481743363e-15,3.4890519829548e-13,"FBgn0037750",41198,"Whamy","CG12946",9.13528712351141e-11
"FBgn0037759",142.186932629414,0.976209228418101,0.146925073979442,6.64426569255766,3.04732446247196e-11,6.94603406558148e-10,"FBgn0037759",41208,"CG8526","CG8526",3.13782999900737e-07
"FBgn0037797",24.4886725606931,0.633059375261845,0.21635726971574,2.92599077485858,0.00343361118933609,0.0108211070467536,"FBgn0037797",41249,"CG12420","CG12420",1
"FBgn0037815",93.150136753419,0.525527989815298,0.146630412796669,3.58403130559309,0.000338331507712864,0.00146466070141278,"FBgn0037815",41270,"Rrp46","CG4043",1
"FBgn0037818",955.832387748133,-0.639805137411821,0.157148318732203,-4.07134573613934,4.67423127632403e-05,0.000257555447090593,"FBgn0037818",41274,"CG6465","CG6465",0.481305594523086
"FBgn0037819",1262.34320628152,-1.16495812100096,0.140343377205727,-8.30077018378474,1.03438614110867e-16,5.47538332229515e-15,"FBgn0037819",41275,"CG14688","CG14688",1.0651074094996e-12
"FBgn0037841",94.1361001505122,-0.764525165607493,0.136209576456798,-5.61285913586244,1.99010601910288e-08,2.48908108929004e-07,"FBgn0037841",41303,"CG4565","CG4565",0.000204921216787023
"FBgn0037844",17.027423152122,0.693467441754923,0.233313512308959,2.97225580675592,0.00295620266127448,0.00953445784688844,"FBgn0037844",41306,"CG4570","CG4570",1
"FBgn0037850",300.71009016949,1.25735357781068,0.104226417836632,12.0636744878012,1.642861774724e-33,4.36883884806961e-31,"FBgn0037850",41314,"CG14695","CG14695",1.6916547694333e-29
"FBgn0037895",4084.90316189676,-0.574671715036805,0.0831876412413585,-6.90813811356265,4.91055791013811e-12,1.3058576499603e-10,"FBgn0037895",41368,"CG6723","CG6723",5.05640148006921e-08
"FBgn0037906",58.7272121046656,0.607175569090977,0.228394635801158,2.65844934125155,0.00785011513478495,0.0220592025741955,"FBgn0037906",41379,"PGRP-LB","CG14704",1
"FBgn0037921",132.769181569848,0.589892738818137,0.129758448191518,4.54608348850998,5.46533642753597e-06,3.88063207623327e-05,"FBgn0037921",41394,"CG6808","CG6808",0.0562765691943379
"FBgn0037936",57.921586396153,-0.956127456622278,0.156218181257134,-6.12046209300377,9.33043783386679e-10,1.58376383231699e-08,"FBgn0037936",41410,"CG6908","CG6908",9.60755183753263e-06
"FBgn0037937",23.1803107277439,-0.579284057447298,0.207444850783149,-2.79247257890651,0.00523069007792611,0.0155874006084196,"FBgn0037937",41411,"Fer3","CG6913",1
