"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","geneSymbol","cg","Bonf.correction"
"FBgn0039518",48.0524757633428,3.02818344299278,0.134853558725627,22.455346908226,1.13467855010551e-111,5.38012198680797e-109,"FBgn0039518",43303,"CG13978","CG13978",1.39883171657007e-107
"FBgn0039527",15.3061532539266,-0.714005526369377,0.15136872807233,-4.71699495306717,2.39353625704728e-06,3.55084416087591e-05,"FBgn0039527",43314,"CG5639","CG5639",0.0295075149768788
"FBgn0039611",50.9378217769011,0.590845317167743,0.144121644223707,4.09962931210128,4.13812405694787e-05,0.000474998076108504,"FBgn0039611",43410,"CG14528","CG14528",0.510147933740533
"FBgn0039673",19.2399811505328,-0.669169579088914,0.144665864415379,-4.62562182027634,3.7347621377413e-06,5.3891990445104e-05,"FBgn0039673",43482,"CG7568","CG7568",0.0460421476340747
"FBgn0039682",266.206023156977,0.537181738785965,0.144384606185148,3.72049176833382,0.000198835223222513,0.00191953064360778,"FBgn0039682",43494,"Obp99c","CG7584",1
"FBgn0039685",372.99565193347,1.10065673113199,0.150978354136709,7.29016247014697,3.09581463388528e-13,1.11268812847049e-11,"FBgn0039685",43497,"Obp99b","CG7592",3.81652028065378e-09
"FBgn0039722",2842.76772676385,0.638660627462227,0.0688107480207795,9.28140800430427,1.67253530686327e-20,1.09095318851907e-18,"FBgn0039722",43541,"Capa","CG15520",2.06190152630104e-16
"FBgn0039788",8.84184988523564,-0.839591252723582,0.151589534492018,-5.53858322434385,3.04928335998349e-08,6.25483615006263e-07,"FBgn0039788",43635,"Rpt6R","CG2241",0.000375915652618764
"FBgn0039811",7.09847647868965,-0.826995353444598,0.146894930234026,-5.62984271905824,1.80374026255762e-08,3.86050520083512e-07,"FBgn0039811",43666,"CG15550","CG15550",0.000222365099568103
"FBgn0039916",567.701961363505,0.527691254348469,0.0752119341677513,7.01605749390138,2.28216175537747e-12,7.46272947487889e-11,"FBgn0039916",43806,"CG9935","CG9935",2.81344901202934e-08
"FBgn0040074",25.032469903545,-0.530909869368517,0.148856658868599,-3.56658461505019,0.000361664068180955,0.00319612518461277,"FBgn0040074",53564,"retinin","CG13057",1
"FBgn0040092",124.888034444009,2.43536803447289,0.131004718680848,18.5899260652275,3.87711929025126e-77,1.1380268240528e-74,"FBgn0040092",53522,"lectin-46Cb","CG1652",4.77971266102176e-73
"FBgn0040260",464.51757833004,1.002903227073,0.0735556116518979,13.6346256193102,2.49266755716529e-42,3.53213857985444e-40,"FBgn0040260",53511,"Ugt36Bc","CG17932",3.07296056447336e-38
"FBgn0040323",256.641487114165,0.665443340668557,0.0805377908420533,8.26249806098595,1.42655055419897e-16,6.73812844144248e-15,"FBgn0040323",40034,"GNBP1","CG6895",1.75865152321649e-12
"FBgn0040333",176.434644279455,0.535216117341163,0.0821649480782633,6.51392266239081,7.32132024471519e-11,2.07965981513477e-09,"FBgn0040333",31246,"brv3","CG13762",9.02572359768489e-07
"FBgn0040349",63.0709419010394,1.06098961126485,0.141244063377605,7.51174658879912,5.83436461814807e-14,2.20632046050704e-12,"FBgn0040349",31046,"CG3699","CG3699",7.19260470125294e-10
"FBgn0040364",323.809790997255,0.773789933555171,0.0758341572272791,10.2037124410321,1.90835414058135e-24,1.40036844315994e-22,"FBgn0040364",31060,"CG11378","CG11378",2.35261898450869e-20
"FBgn0040370",5868.0631329613,1.07543998909317,0.0923986385819597,11.6391324114503,2.60653499019272e-31,2.55026693326157e-29,"FBgn0040370",30976,"CG13375","CG13375",3.21333633590958e-27
"FBgn0040371",59.4637688600315,0.547856998082521,0.112179596514273,4.88374905157386,1.0408753236893e-06,1.62635120284431e-05,"FBgn0040371",30977,"CG12470","CG12470",0.0128319109904416
"FBgn0040372",5095.67384882054,0.903276147216888,0.0482170321284331,18.7335492738516,2.63732800177878e-78,7.92999502583629e-76,"FBgn0040372",30971,"G9a","CG2995",3.25129796059288e-74
"FBgn0040398",182.678527043407,0.605304364252721,0.129870850070738,4.66081775797281,3.14955506774311e-06,4.57932876032418e-05,"FBgn0040398",31055,"CG14629","CG14629",0.0388277148751371
"FBgn0040508",148.69248860122,-0.566106660012295,0.0978020745988007,-5.78828887152499,7.11070500844014e-09,1.61735740487177e-07,"FBgn0040508",34689,"ACXC","CG5983",8.766077134405e-05
"FBgn0040551",114.629929888469,-0.553702875557762,0.0989324075997756,-5.59677954869682,2.18370088915452e-08,4.61760970180051e-07,"FBgn0040551",50024,"CG11686","CG11686",0.00026920664561497
"FBgn0040601",21.6037640023084,0.72071286456507,0.142539913550501,5.05621791548041,4.27652651495477e-07,7.16318191254925e-06,"FBgn0040601",50074,"CG13643","CG13643",0.00527210188763625
"FBgn0040608",5.72878930687362,-0.566380988385968,0.146251581299529,-3.87264864662214,0.000107658974583646,0.00110325838625702,"FBgn0040608",3772140,"CG14246","CG14246",1
"FBgn0040670",85.1929578684196,0.836612610428504,0.105502253290927,7.92980798354619,2.1948498522937e-15,9.3951767288461e-14,"FBgn0040670",50143,"e(y)2b","CG14612",2.70581089790768e-11
"FBgn0040732",72.54912175355,1.73944321760447,0.148036782684444,11.7500744481342,7.05566590018421e-32,7.12969255880909e-30,"FBgn0040732",50205,"CG16926","CG16926",8.69822492174709e-28
"FBgn0040733",145.629974495939,0.508605043270797,0.144555647524681,3.51840313387935,0.000434152282279475,0.00372717920330179,"FBgn0040733",50206,"CG15068","CG15068",1
"FBgn0040832",90.3709859879944,0.61529930973356,0.103447931078013,5.94791315129872,2.71582616514861e-09,6.52645320934737e-08,"FBgn0040832",50305,"CG8012","CG8012",3.3480704963952e-05
"FBgn0041160",23.1344314902166,0.560569711646755,0.149495924158318,3.74973240777525,0.00017702336883654,0.00173064559160735,"FBgn0041160",39716,"comm2","CG7554",1
"FBgn0041194",173.661613836772,0.786680984232123,0.147698392089545,5.32626640752584,1.00252061937693e-07,1.86267047863495e-06,"FBgn0041194",38753,"Prat2","CG10078",0.00123590741956788
"FBgn0041235",3.05203301775461,0.838237699457083,0.128397207642867,6.5284729695105,6.64435998045823e-11,1.9005027804893e-09,"FBgn0041235",192481,"Gr59c","CG30186",8.1911669839089e-07
"FBgn0041236",11.3910320062849,2.01709783460714,0.151253292745683,13.3358937051286,1.43129098949318e-40,1.93900607895296e-38,"FBgn0041236",117343,"Gr59d","CG30330",1.76449553184719e-36
"FBgn0041579",493.972547425003,-0.653145124019595,0.126194819945985,-5.17568886186579,2.27071599306466e-07,3.97107690883694e-06,"FBgn0041579",NA,"AttC","CG4740",0.00279933867625012
"FBgn0041581",125.676356683442,-0.773795892600783,0.132491909870816,-5.84032559690065,5.20988996298783e-09,1.20361003039851e-07,"FBgn0041581",36637,"AttB","CG18372",6.4227523463714e-05
"FBgn0042101",5.99094952659957,0.511592234370391,0.142687850838274,3.58539449129584,0.000336569055837154,0.00300365991016344,"FBgn0042101",59140,"CG18744","CG18744",1
"FBgn0042177",772.207843978771,0.500258866675614,0.047956876988845,10.4314312792298,1.78183803335769e-25,1.39028476425529e-23,"FBgn0042177",59215,"CG32164","CG32164",2.19664992752336e-21
"FBgn0042178",271.516111221996,-1.18175883821057,0.0596934235379602,-19.7971362366085,3.15105537276826e-87,1.21394408235897e-84,"FBgn0042178",59216,"CG32165","CG32165",3.88462106354871e-83
"FBgn0043575",23.0133058485747,-1.12217825955023,0.144988775749037,-7.73975953485274,9.96050172050925e-15,3.98678783150773e-13,"FBgn0043575",35862,"PGRP-SC2","CG14745",1.22793065210438e-10
"FBgn0043578",144.035174420867,-0.689532986536327,0.145527973753257,-4.73814737299534,2.15680940569973e-06,3.21902498225985e-05,"FBgn0043578",39870,"PGRP-SB1","CG9681",0.0265891463534663
"FBgn0043791",46.8505822990829,0.748255058374291,0.150187314705661,4.98214552834061,6.28831127141926e-07,1.02542726658805e-05,"FBgn0043791",41135,"CG8147","CG8147",0.00775223013540566
"FBgn0044048",1133.35799849181,0.867381475156712,0.0708070379176616,12.2499330668987,1.68134629180737e-34,1.8673546923785e-32,"FBgn0044048",2768992,"Ilp5","CG33273",2.07276370854013e-30
"FBgn0045479",20.8746676888535,1.31849401780622,0.149072025311338,8.84467769893467,9.17928671502157e-19,5.1437384828539e-17,"FBgn0045479",117481,"Gr64a","CG32261",1.13162246622786e-14
"FBgn0045761",455.862914136319,1.15183969894455,0.0496555995290033,23.1965721866227,4.93079233411464e-119,2.53278366229022e-116,"FBgn0045761",43067,"CHKov1","CG10618",6.07868078949652e-115
